"Step","longattn-seperated - grouped_lm_loss/decade_0","longattn-seperated - grouped_lm_loss/decade_0__MIN","longattn-seperated - grouped_lm_loss/decade_0__MAX","longattn-seperated - grouped_lm_loss/decade_6","longattn-seperated - grouped_lm_loss/decade_6__MIN","longattn-seperated - grouped_lm_loss/decade_6__MAX","longattn-no-muon - grouped_lm_loss/decade_0","longattn-no-muon - grouped_lm_loss/decade_0__MIN","longattn-no-muon - grouped_lm_loss/decade_0__MAX","longattn-no-muon - grouped_lm_loss/decade_6","longattn-no-muon - grouped_lm_loss/decade_6__MIN","longattn-no-muon - grouped_lm_loss/decade_6__MAX","longattn - grouped_lm_loss/decade_0","longattn - grouped_lm_loss/decade_0__MIN","longattn - grouped_lm_loss/decade_0__MAX","longattn - grouped_lm_loss/decade_6","longattn - grouped_lm_loss/decade_6__MIN","longattn - grouped_lm_loss/decade_6__MAX"
"48","1.725051588482327","1.725051588482327","1.725051588482327","1.3725489675998688","1.3725489675998688","1.3725489675998688","1.7303510109583538","1.7303510109583538","1.7303510109583538","1.4110806286334991","1.4110806286334991","1.4110806286334991","1.7274283832973905","1.7274283832973905","1.7274283832973905","1.3704402446746826","1.3704402446746826","1.3704402446746826"
"49","1.9574409193462796","1.9574409193462796","1.9574409193462796","1.5166515111923218","1.5166515111923218","1.5166515111923218","1.9599758121702406","1.9599758121702406","1.9599758121702406","1.561938852071762","1.561938852071762","1.561938852071762","1.9625655280219183","1.9625655280219183","1.9625655280219183","1.5161744356155396","1.5161744356155396","1.5161744356155396"
"50","1.6818764607111614","1.6818764607111614","1.6818764607111614","1.3765912652015686","1.3765912652015686","1.3765912652015686","1.6868828137715657","1.6868828137715657","1.6868828137715657","1.4195556640625","1.4195556640625","1.4195556640625","1.686072376039293","1.686072376039293","1.686072376039293","1.3753535151481628","1.3753535151481628","1.3753535151481628"
"51","1.5912093851301405","1.5912093851301405","1.5912093851301405","1.1371640861034393","1.1371640861034393","1.1371640861034393","1.5929117070304022","1.5929117070304022","1.5929117070304022","1.1738504469394684","1.1738504469394684","1.1738504469394684","1.5952732298109267","1.5952732298109267","1.5952732298109267","1.1361718773841858","1.1361718773841858","1.1361718773841858"
"52","1.5510785182317097","1.5510785182317097","1.5510785182317097","1.227583408355713","1.227583408355713","1.227583408355713","1.5547649065653484","1.5547649065653484","1.5547649065653484","1.2707513868808746","1.2707513868808746","1.2707513868808746","1.5509401824739244","1.5509401824739244","1.5509401824739244","1.225907951593399","1.225907951593399","1.225907951593399"
"53","1.9839237928390503","1.9839237928390503","1.9839237928390503","1.6986141800880432","1.6986141800880432","1.6986141800880432","1.9936077064938016","1.9936077064938016","1.9936077064938016","1.741156280040741","1.741156280040741","1.741156280040741","1.9870156712002225","1.9870156712002225","1.9870156712002225","1.6975769698619843","1.6975769698619843","1.6975769698619843"
"54","1.6396021313137479","1.6396021313137479","1.6396021313137479","1.3594298958778381","1.3594298958778381","1.3594298958778381","1.640182786517673","1.640182786517673","1.640182786517673","1.3981412649154663","1.3981412649154663","1.3981412649154663","1.642173621389601","1.642173621389601","1.642173621389601","1.3583684861660004","1.3583684861660004","1.3583684861660004"
"55","1.8547725942399766","1.8547725942399766","1.8547725942399766","1.5380524098873138","1.5380524098873138","1.5380524098873138","1.8614072534773085","1.8614072534773085","1.8614072534773085","1.5726592540740967","1.5726592540740967","1.5726592540740967","1.856546786096361","1.856546786096361","1.856546786096361","1.5357602536678314","1.5357602536678314","1.5357602536678314"
"56","1.8515437973870172","1.8515437973870172","1.8515437973870172","1.3419922590255737","1.3419922590255737","1.3419922590255737","1.8497214847140842","1.8497214847140842","1.8497214847140842","1.3849257230758667","1.3849257230758667","1.3849257230758667","1.85360766781701","1.85360766781701","1.85360766781701","1.339202731847763","1.339202731847763","1.339202731847763"
"57","2.1262195905049643","2.1262195905049643","2.1262195905049643","1.8398357331752777","1.8398357331752777","1.8398357331752777","2.1387012799580893","2.1387012799580893","2.1387012799580893","1.8851085901260376","1.8851085901260376","1.8851085901260376","2.1323531998528376","2.1323531998528376","2.1323531998528376","1.8406506478786469","1.8406506478786469","1.8406506478786469"
"58","1.7206059694290161","1.7206059694290161","1.7206059694290161","1.4891265034675598","1.4891265034675598","1.4891265034675598","1.7279649443096585","1.7279649443096585","1.7279649443096585","1.519005924463272","1.519005924463272","1.519005924463272","1.7251021199756198","1.7251021199756198","1.7251021199756198","1.490073025226593","1.490073025226593","1.490073025226593"
"59","1.685403929816352","1.685403929816352","1.685403929816352","1.458770751953125","1.458770751953125","1.458770751953125","1.691220415963067","1.691220415963067","1.691220415963067","1.4937669932842255","1.4937669932842255","1.4937669932842255","1.6890669001473322","1.6890669001473322","1.6890669001473322","1.4605361223220825","1.4605361223220825","1.4605361223220825"
"60","1.9677852127287123","1.9677852127287123","1.9677852127287123","1.5003876388072968","1.5003876388072968","1.5003876388072968","1.9749215973748102","1.9749215973748102","1.9749215973748102","1.547197937965393","1.547197937965393","1.547197937965393","1.9742198520236545","1.9742198520236545","1.9742198520236545","1.5010810792446136","1.5010810792446136","1.5010810792446136"
"61","2.1149225499894886","2.1149225499894886","2.1149225499894886","1.6539745032787323","1.6539745032787323","1.6539745032787323","2.117733875910441","2.117733875910441","2.117733875910441","1.7039436101913452","1.7039436101913452","1.7039436101913452","2.1206809414757624","2.1206809414757624","2.1206809414757624","1.6549083590507507","1.6549083590507507","1.6549083590507507"
"62","2.212444093492296","2.212444093492296","2.212444093492296","1.780152976512909","1.780152976512909","1.780152976512909","2.217089891433716","2.217089891433716","2.217089891433716","1.8254329860210419","1.8254329860210419","1.8254329860210419","2.2182102733188205","2.2182102733188205","2.2182102733188205","1.7793477475643158","1.7793477475643158","1.7793477475643158"
"63","1.8999817371368408","1.8999817371368408","1.8999817371368408","1.505189448595047","1.505189448595047","1.505189448595047","1.9031699763403997","1.9031699763403997","1.9031699763403997","1.539870023727417","1.539870023727417","1.539870023727417","1.9040837950176663","1.9040837950176663","1.9040837950176663","1.5048863291740417","1.5048863291740417","1.5048863291740417"
"64","2.036481009589301","2.036481009589301","2.036481009589301","1.7418671548366547","1.7418671548366547","1.7418671548366547","2.041965272691515","2.041965272691515","2.041965272691515","1.7753907442092896","1.7753907442092896","1.7753907442092896","2.0411194562911987","2.0411194562911987","2.0411194562911987","1.7416532337665558","1.7416532337665558","1.7416532337665558"
"65","1.8956187963485718","1.8956187963485718","1.8956187963485718","1.646983563899994","1.646983563899994","1.646983563899994","1.8997416761186388","1.8997416761186388","1.8997416761186388","1.6835451424121857","1.6835451424121857","1.6835451424121857","1.8979949951171875","1.8979949951171875","1.8979949951171875","1.6474869847297668","1.6474869847297668","1.6474869847297668"
"66","1.8782154851489596","1.8782154851489596","1.8782154851489596","1.537883460521698","1.537883460521698","1.537883460521698","1.8818659517500136","1.8818659517500136","1.8818659517500136","1.5794636607170105","1.5794636607170105","1.5794636607170105","1.8784210019641452","1.8784210019641452","1.8784210019641452","1.5371286571025848","1.5371286571025848","1.5371286571025848"
