"Step","longattn-fo-grad - loss","longattn-fo-grad - loss__MIN","longattn-fo-grad - loss__MAX","longattn-aux-v2 - loss","longattn-aux-v2 - loss__MIN","longattn-aux-v2 - loss__MAX","longattn-seperated - loss","longattn-seperated - loss__MIN","longattn-seperated - loss__MAX","longattn-no-muon - loss","longattn-no-muon - loss__MIN","longattn-no-muon - loss__MAX"
"39","1.620448812842369","1.620448812842369","1.620448812842369","1.5987944137305021","1.5987944137305021","1.5987944137305021","1.5895905289798975","1.5895905289798975","1.5895905289798975","1.6197084095329046","1.6197084095329046","1.6197084095329046"
"40","1.5993365421891212","1.5993365421891212","1.5993365421891212","1.5818428378552198","1.5818428378552198","1.5818428378552198","1.576326048001647","1.576326048001647","1.576326048001647","1.596593787893653","1.596593787893653","1.596593787893653"
"41","1.756082285195589","1.756082285195589","1.756082285195589","1.7448856383562088","1.7448856383562088","1.7448856383562088","1.7344362363219261","1.7344362363219261","1.7344362363219261","1.7632534373551607","1.7632534373551607","1.7632534373551607"
"42","1.8409624211490154","1.8409624211490154","1.8409624211490154","1.829488392919302","1.829488392919302","1.829488392919302","1.8171833530068398","1.8171833530068398","1.8171833530068398","1.844307567924261","1.844307567924261","1.844307567924261"
"43","1.7216107919812202","1.7216107919812202","1.7216107919812202","1.7141499742865562","1.7141499742865562","1.7141499742865562","1.704089866951108","1.704089866951108","1.704089866951108","1.7311369366943836","1.7311369366943836","1.7311369366943836"
"44","1.5526379439979792","1.5526379439979792","1.5526379439979792","1.5388293135911226","1.5388293135911226","1.5388293135911226","1.529542138800025","1.529542138800025","1.529542138800025","1.5500743295997381","1.5500743295997381","1.5500743295997381"
"45","1.482134385034442","1.482134385034442","1.482134385034442","1.4718080926686525","1.4718080926686525","1.4718080926686525","1.462979394942522","1.462979394942522","1.462979394942522","1.4867655523121357","1.4867655523121357","1.4867655523121357"
"46","1.8081686198711395","1.8081686198711395","1.8081686198711395","1.7982919923961163","1.7982919923961163","1.7982919923961163","1.788170674815774","1.788170674815774","1.788170674815774","1.8123517613857985","1.8123517613857985","1.8123517613857985"
"47","1.6340592987835407","1.6340592987835407","1.6340592987835407","1.6213099639862776","1.6213099639862776","1.6213099639862776","1.611193098127842","1.611193098127842","1.611193098127842","1.640066985040903","1.640066985040903","1.640066985040903"
"48","1.5419579613953829","1.5419579613953829","1.5419579613953829","1.5274629425257444","1.5274629425257444","1.5274629425257444","1.5179940462112427","1.5179940462112427","1.5179940462112427","1.5387138575315475","1.5387138575315475","1.5387138575315475"
"49","1.7380554024130106","1.7380554024130106","1.7380554024130106","1.7193040363490582","1.7193040363490582","1.7193040363490582","1.7086542956531048","1.7086542956531048","1.7086542956531048","1.7316511496901512","1.7316511496901512","1.7316511496901512"
"50","1.5393341518938541","1.5393341518938541","1.5393341518938541","1.5314698815345764","1.5314698815345764","1.5314698815345764","1.5199838858097792","1.5199838858097792","1.5199838858097792","1.5414656680077314","1.5414656680077314","1.5414656680077314"
"51","1.3398087490350008","1.3398087490350008","1.3398087490350008","1.334745241329074","1.334745241329074","1.334745241329074","1.3231774680316448","1.3231774680316448","1.3231774680316448","1.3414899203926325","1.3414899203926325","1.3414899203926325"
"52","1.3795276042073965","1.3795276042073965","1.3795276042073965","1.3633691500872374","1.3633691500872374","1.3633691500872374","1.3533827792853117","1.3533827792853117","1.3533827792853117","1.3757749889045954","1.3757749889045954","1.3757749889045954"
"53","1.8508208971470594","1.8508208971470594","1.8508208971470594","1.8462549392133951","1.8462549392133951","1.8462549392133951","1.834700921550393","1.834700921550393","1.834700921550393","1.8609478157013655","1.8609478157013655","1.8609478157013655"
"54","1.4914129544049501","1.4914129544049501","1.4914129544049501","1.487344365566969","1.487344365566969","1.487344365566969","1.4779356941580772","1.4779356941580772","1.4779356941580772","1.4973139874637127","1.4973139874637127","1.4973139874637127"
"55","1.649137020111084","1.649137020111084","1.649137020111084","1.6404261626303196","1.6404261626303196","1.6404261626303196","1.6318469867110252","1.6318469867110252","1.6318469867110252","1.655703580006957","1.655703580006957","1.655703580006957"
"56","1.6093919053673744","1.6093919053673744","1.6093919053673744","1.5820931177586317","1.5820931177586317","1.5820931177586317","1.5715823788195848","1.5715823788195848","1.5715823788195848","1.5932313464581966","1.5932313464581966","1.5932313464581966"
"57","2.017090167850256","2.017090167850256","2.017090167850256","2.007474225014448","2.007474225014448","2.007474225014448","1.9974078107625246","1.9974078107625246","1.9974078107625246","2.0260163098573685","2.0260163098573685","2.0260163098573685"
"58","1.589271903038025","1.589271903038025","1.589271903038025","1.592102887108922","1.592102887108922","1.592102887108922","1.5788620226085186","1.5788620226085186","1.5788620226085186","1.5999873727560043","1.5999873727560043","1.5999873727560043"
